Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime
28 Jan 2024,,,,,,,,,,,,,,
All datapoints provided as of end of last active trading day.,,,,,,,,,,,,,,
SIMINANS,BE0016250517,-,Euronext Expert Market,EUR,23.40,23.40,23.40,23.40,22/02/2022 11:30,CET,75,1755.00,23.40,26/01/2024
SIMON PROPERTY GR,US8288061091,2SPG,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,131.05,26/01/2024
SIMON PROPERTY GR,US8288061091,1SPG,Euronext Global Equity Market,EUR,131.40,131.40,131.40,131.40,26/01/2024 14:36,CET,70,9198.00,131.05,26/01/2024
SIMON PROPERTY GR,US8288061091,4SPG,EuroTLX,EUR,131.75,131.75,131.75,131.75,21/12/2023 10:26,CET,76,10013.00,131.05,26/01/2024
SIMONE,IT0005573123,SMN,Euronext Growth Milan,EUR,2.06,2.06,2.05,2.05,26/01/2024 09:37,CET,3000,6170.00,2.05,26/01/2024
SINGULARITY FUTURE,US82935V2088,1SGLY,Euronext Global Equity Market,EUR,0.51,0.51,0.51,0.51,25/05/2023 17:24,CET,450,229.50,0.51,26/01/2024
SINGULARITY FUTURE,US82935V2088,2SGLY,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,0.51,26/01/2024
SIPEF,BE0003898187,SIP,Euronext Brussels,EUR,50.00,50.60,49.90,49.95,26/01/2024 17:35,CET,1559,78194.50,49.95,26/01/2024
SIRIUS MEDIA,FR0010812230,ALSRS,Euronext Growth Paris,EUR,0.70,0.706,0.676,0.704,26/01/2024 17:35,CET,29375,20335.606,0.704,26/01/2024
SIT,IT0005262149,SIT,Euronext Milan,EUR,2.83,2.93,2.83,2.91,26/01/2024 17:35,CET,4830,14014.09,2.91,26/01/2024
SIXT,DE0007231326,1SIX,Euronext Global Equity Market,EUR,92.95,92.95,92.95,92.95,26/01/2024 11:15,CET,12,1115.40,93.00,26/01/2024
SIXT,DE0007231326,2SIX,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,93.00,26/01/2024
SIXT,DE0007231326,4SIX,EuroTLX,EUR,-,-,-,101.80,07/09/2023 00:00,CET,-,-,92.95,26/01/2024
SKANDIA GREENPOWER,NO0010931207,SKAND,Euronext Growth Oslo,NOK,0.61,0.61,0.55,0.594,26/01/2024 16:25,CET,27298,16231.768,0.594,26/01/2024
SKANDINAVISKA ENSK,SE0000148884,4SEBA,EuroTLX,EUR,12.525,12.525,12.525,12.525,29/12/2023 11:36,CET,42,526.05,13.385,26/01/2024
SKANDINAVISKA ENSK,SE0000148884,2SEBA,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,13.41,26/01/2024
SKANDINAVISKA ENSK,SE0000148884,1SEBA,Euronext Global Equity Market,EUR,13.385,13.385,13.385,13.385,26/01/2024 12:19,CET,50,669.25,13.41,26/01/2024
SKUE SPAREBANK,NO0006001809,SKUE,Oslo Børs,NOK,244.00,244.00,244.00,244.00,26/01/2024 16:17,CET,1130,275720.00,244.00,26/01/2024
SKYWORKS SOLUTIONS,US83088M1027,1SWKS,Euronext Global Equity Market,EUR,-,-,-,-,-,CET,-,-,97.39,26/01/2024
SKYWORKS SOLUTIONS,US83088M1027,4SWKS,EuroTLX,EUR,96.59,96.59,96.59,96.59,26/01/2024 10:25,CET,22,2124.98,97.43,26/01/2024
SKYWORKS SOLUTIONS,US83088M1027,2SWKS,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,97.39,26/01/2024
